Year,Company,Node_Size_nm,Transistor_Density,RD_Spending_USD,Patent_Count,AI_Chip_Performance,Energy_Efficiency
1990,TSMC,1731.0,330077.5974076901,45444647.727254406,382,0.5942334326342066,0.522634410373702
1990,ASML,1155.0,609322.9739015257,59953112.392641075,38,0.8647307005527333,0.9152171684712456
1990,Intel,1601.0,317756.76280960644,5191785.577749741,301,0.5854309682740039,0.5379932994540754
1990,Samsung,1969.0,283796.0725989487,78943572.50238721,398,0.46683969648363477,0.7380292619566234
1990,Broadcom,1181.0,822700.7985483643,45901941.9509049,477,0.9107313710550735,0.9735682639024784
1990,Qualcomm,1524.0,425130.5350241581,20908464.571944166,52,0.6264162090434492,0.33208754015123104
1990,AMD,1611.0,431460.67730395973,36265423.135553055,456,0.5590800117652499,0.3483818699105624
1990,Texas Instruments,1366.0,485115.074092502,14199883.368620582,293,0.6932898537437747,0.4667847727424621
1990,Applied Materials,1199.0,717996.0488178942,48757018.0457129,246,0.761465653385818,1.126314156441726
1990,Lam Research,1046.0,899457.5109810462,33205397.045375448,371,0.9866431203914111,0.7366382666385396
1990,Micron,1065.0,748400.00936214,32730039.41478629,142,0.8591815867733071,0.5773193917430871
1990,Tokyo Electron,1808.0,273821.19663287717,79246276.83254251,118,0.5545460398543661,0.3166563699446727
1990,Analog Devices,1684.0,316533.0863480042,29857886.851836156,489,0.5555390728476612,0.4223227784385778
1990,KLA,1495.0,423588.71764010325,48340011.72296929,287,0.6400054537880909,0.39147631539285355
1990,NXP,1258.0,681133.3419277631,4732056.656069103,281,0.8536425721295904,1.167134034032854
1990,Marvell,1520.0,456625.8544016472,51066436.355158046,122,0.5958700957818155,0.9309027374647236
1990,Microchip,1969.0,293208.0835048177,45101624.01425978,362,0.4647258089427245,0.4673139422108557
1990,Renesas,1894.0,291943.3814887749,85104133.37130459,147,0.5360318251374628,0.35853339383850963
1990,Infineon,1088.0,723409.0910491772,60021335.76758771,473,0.9750980563194656,0.7043736356515138
1990,STMicroelectronics,1325.0,471483.90343939443,15593412.68024458,433,0.7898833919239958,0.40876567585989526
1990,ON Semiconductor,1828.0,251038.34792645185,43545589.78186765,160,0.5267181704008972,0.6711224551354181
1990,GlobalFoundries,1542.0,373704.41322466644,23980581.88199856,360,0.6864583364874647,0.45935213850428314
1990,UMC,1074.0,760215.3637665627,19534155.724907726,170,1.0018868226664637,0.7032556052541998
1990,MediaTek,1198.0,655923.756531941,59932335.82853397,470,0.7813257636203284,1.010931618252463
1990,Realtek,1706.0,373188.07084451284,2289715.4389229147,175,0.5483715362608882,0.37139364589449914
1990,Novatek,1074.0,1004462.065403445,40458363.06391642,364,1.0192339761145168,0.7699945282727922
1990,SK Hynix,1863.0,251823.94202536222,45786604.386962466,25,0.5788569139365354,0.47121188483676085
1990,Western Digital,1063.0,812020.2943025312,63589982.591486305,119,0.9798855203171121,1.1158459304204913
1990,Kioxia,1729.0,313401.9018374449,23825407.284891836,463,0.5361371572336235,0.584575668909285
1990,Sony,1472.0,482353.00177822885,40061749.23840905,180,0.7388992571097297,0.3943126416875938
1990,Rohhm,1760.0,278810.6413356478,15788678.449450558,158,0.5964196467879536,0.3830366638019583
1990,Qorvo,1493.0,377915.10156218655,38747153.00244477,393,0.7191459000670564,0.7893696261727968
1990,Skyworks,1025.0,865957.4530965515,64196713.68656855,62,0.878948982631204,0.5203044516012553
1990,Synopsys,1636.0,311417.4951021855,12878208.047543058,421,0.658896931766299,0.7084981317142305
1990,Cadence,1907.0,250232.8744012974,32602058.662031762,147,0.5391098870180542,0.6644755493605192
1990,Ansys,1755.0,296952.7075538799,26843396.394022774,385,0.6051483026569122,0.3353422519818252
1990,Entegris,1289.0,584702.6370055332,20170649.782693315,376,0.7601515441734212,0.5819064954660332
1990,Amkor,1808.0,244884.9968388254,17583285.734115213,178,0.5269508332561262,0.3563025336714641
1990,ASE,1803.0,248350.86555974273,72429314.15126096,244,0.5771782577158266,0.5062187607036059
1990,JCET,1539.0,358368.94702142675,17369655.161512047,348,0.6715689412836794,0.47206662928492416
1990,Powertech,1318.0,498080.108845818,88283528.52238792,322,0.6886638234792959,0.42789095881678807
1990,Nexperia,1427.0,432149.90900169424,9058908.943646733,295,0.7274612045613017,0.9873053610379023
1990,Bosch,1006.0,854352.59930263,91341183.94908966,230,0.9736605625909631,1.2368457004338007
1990,Tower Semiconductor,1222.0,791691.3173483519,61902956.21192855,485,0.8969401601846416,0.9545549062929565
1990,VisIC,1942.0,307773.2272159992,17174048.86284705,148,0.5507279362040257,0.3780451419420256
1991,TSMC,1362.0,517742.1094216576,21372217.253007784,199,1.460329731580771,0.6514331973903689
1991,ASML,1569.0,352312.4403155511,34419135.34604587,160,1.194734140793801,0.8345343473940321
1991,Intel,1040.0,888225.7943582948,27385532.507085137,115,2.028838653641184,0.781477864257622
1991,Samsung,1287.0,510298.2759644873,29569764.543820202,347,1.4386910517562261,0.5131874829742078
1991,Broadcom,1022.0,970307.8728203389,55286345.53250356,84,1.8128578459895985,0.9779573095046766
1991,Qualcomm,915.0,1064830.3309090638,109991663.02279335,260,2.2019380526605636,1.522430584021245
1991,AMD,993.0,999657.6870070242,45831547.874367446,165,2.1816325388084996,1.4016953580214435
1991,Texas Instruments,990.0,1076286.1338508178,51739816.616454646,211,1.9038261102987415,0.825603938201855
1991,Applied Materials,1305.0,579851.5942717561,53759170.017185204,183,1.4064052864127594,0.6954785671892884
1991,Lam Research,872.0,1386106.7777914405,71706928.72915396,183,2.250367193160964,0.830902258765733
1991,Micron,949.0,1035770.589045448,107236709.53128037,381,1.964194865208367,1.3977989296183868
1991,Tokyo Electron,1342.0,660234.0781737963,6449892.942410254,266,1.575225011172917,1.007699716278448
1991,Analog Devices,981.0,1139450.83003615,3606986.006781784,176,2.2138595767950053,1.1395601867490346
1991,KLA,1352.0,484485.33046093653,74894585.50736439,172,1.398742424384533,0.9856090390017433
1991,NXP,910.0,1240486.195274275,22186568.049780067,367,2.2120136753225053,1.3994438394208357
1991,Marvell,1539.0,381310.0618280992,41303551.355060406,24,1.222713492891369,0.5517361939586104
1991,Microchip,1327.0,495103.94030035514,70149816.00998777,477,1.3610677291604762,0.6039602158995089
1991,Renesas,1223.0,772517.3654211602,96546817.00943722,119,1.5471220062782984,1.0023635406904288
1991,Infineon,1517.0,450132.4487735319,15222179.37039139,129,1.3500435166045839,0.5398823539359748
1991,STMicroelectronics,1071.0,831876.8649219539,121574363.90966225,476,1.7215239932258126,0.7458256019717004
1991,ON Semiconductor,1517.0,472301.57001815987,28919576.221336078,343,1.2114741315938156,0.6915827260163676
1991,GlobalFoundries,1313.0,599384.6824519164,104017490.79210024,504,1.4356776666099944,0.733648151543169
1991,UMC,1518.0,451687.1274918589,12408883.042998003,213,1.3571367927630902,0.43604373827836745
1991,MediaTek,881.0,1161284.8224445877,71808551.19813721,472,2.373674290624704,0.8728135982687629
1991,Realtek,928.0,1263637.9962441595,41195798.67964133,498,2.321229407527521,1.3326695310539325
1991,Novatek,1321.0,590559.3395247485,61656863.686421975,469,1.461126369898691,0.8920809581582909
1991,SK Hynix,989.0,1026951.4878598336,27136709.87178725,272,2.2204687214370815,1.5015325361705163
