Year,Country,AI_GPU_Demand,Data_Center_Count,AI_Compute_Power,Cloud_AI_Investment,Training_Compute_FLOPS,AI_Model_Count
1990,USA,70.70311693228844,15,255.59586936581053,38053056.51963535,4019196394607835.5,9
1990,Taiwan,13.593274736732063,4,43.275688607127556,7495218.650747558,1096305294501931.0,9
1990,China,59.394062094340526,17,186.19454353805796,42511401.29912798,2016811435506401.5,0
1990,South Korea,33.692191307674555,28,89.83581145085678,49621540.63777492,3400188655199417.0,6
1990,Japan,18.80585664790756,44,20.647346126250405,31707696.512354273,228582740709105.22,9
1990,Netherlands,0.592406545400237,26,2.874049677477964,820012.8158122789,150616097583329.03,2
1990,Germany,45.94957748644101,41,198.2040806440296,45235893.2459798,6214271278910541.0,5
1990,Israel,74.82071183951275,13,297.50195017839684,93887184.85887308,4790279899437670.0,7
1990,Malaysia,63.77028510419288,44,137.61573068715165,95412374.16079463,6659675362065446.0,9
1990,Singapore,84.65611699612853,39,262.58024788577126,130138320.08286531,2.350131899063625e+16,8
1990,India,82.36592509839738,24,330.6715597554334,68371903.53661983,1.4869573662779772e+16,2
1990,UK,40.381100524749925,24,97.87868202006997,37399207.57655225,2529971688162431.5,7
1990,France,80.64028192465743,8,227.1370532660051,86993862.82656302,2.2347325100285044e+16,1
1990,Italy,7.9982482796754795,8,21.630951463082358,7449010.04703784,528419104751721.44,1
1990,Vietnam,73.4073531005878,12,221.61370867279146,53170706.00018677,4287237918339289.5,2
1990,Mexico,93.15649800079184,19,320.34961919513813,74033702.72404008,1.045259600762004e+16,5
1990,Philippines,85.46174631518355,36,217.09016017353798,137543156.08665854,1.0330780282823226e+16,6
1990,Thailand,1.9610532474253595,21,8.283580776690602,1725356.654933393,268417911732335.44,5
1990,Canada,7.0118045746989655,37,10.578883152165455,7697831.374062878,267791073304671.16,4
1990,Ireland,84.64351763073068,22,223.93659145449988,162650916.27305964,4786266810976026.0,9
1990,Brazil,11.10633032816547,46,45.441503286111086,11200233.121166559,1039580065864461.6,3
1990,Australia,31.952145180747582,45,87.65730542062549,37652783.90769535,1003653327190782.4,9
1990,Spain,73.22379140922875,35,268.9306770687729,135004033.38662297,4087998476289943.0,5
