Year,Country,Export_Control_Level,Sanctions_Index,Trade_Tension_Level,Military_Tech_Influence,Semiconductor_Security_Risk
1990,USA,7.110436720168008,7.086781023258831,8.651379579340457,5.423786137822226,7.214852687108275
1990,Taiwan,7.682270969938905,9.10152305689196,2.811707069271779,1.2761604418783559,3.5491676150660387
1990,China,4.229122663306256,5.037857729619044,7.312914437070951,9.394844102617512,7.242049687147184
1990,South Korea,4.928911476229854,5.852899598551736,6.362216091548725,1.796503198502457,4.343593324749498
1990,Japan,7.236115216455325,6.892432790190241,1.09268993914593,2.7037366010280355,3.97239042938145
1990,Netherlands,9.92797895440157,10.0,6.006919656049332,1.29779654549131,5.975460970016974
1990,Germany,4.6049892801613455,5.282334472905313,7.758761118077525,1.161172854276816,4.900957501269404
1990,Israel,1.6134057329072777,1.3352996039691818,7.780585352500682,8.755139501565232,5.692754879685619
1990,Malaysia,4.906632980837323,5.479859855943229,9.393588160931513,3.3573257442170075,6.195833162496505
1990,Singapore,6.124915808768926,6.937412170973905,9.562870408342055,2.3208642918700093,6.294090519843184
1990,India,9.982967264835745,7.991257445066527,8.839004202363489,3.213658547248857,7.929714881508405
1990,UK,3.949773448550957,3.7938353905633893,9.797426704252302,2.2635307867861902,4.974931268063523
1990,France,1.8693512347678127,1.9462006527741866,5.829361302494938,2.1006895506741996,3.3361145911729095
1990,Italy,4.552037672846097,5.37836569294939,8.813664861759957,2.7806221281605805,5.75053988268327
1990,Vietnam,8.683673488448846,7.613851476702244,7.423864212615912,1.464814246432848,6.348872300144073
1990,Mexico,3.385551775470987,2.9334163978136116,3.2169776253217703,2.582362143039909,3.170010696961199
1990,Philippines,7.085453228069044,5.937001629505178,3.3494742968745266,1.93062848873735,4.124683538071621
1990,Thailand,6.511959958653323,5.68665606347477,3.4354032904268648,3.5247271167386622,4.812164155048298
1990,Canada,3.519606553899279,3.4348916826176406,6.041015610405722,1.4259016095058947,3.984875329395757
1990,Ireland,1.0880464221445174,1.0208334083757784,2.6881873328227472,3.569383765547723,2.5898951325224644
1990,Brazil,6.218956581095968,5.823211033897762,7.255188597874861,3.821624638656184,5.219618063753331
1990,Australia,1.9083580893048155,2.2480852378001366,9.329984490375617,2.471713011164774,4.639903971511733
1990,Spain,9.122840695563085,10.0,8.68090918541937,2.11535680559225,7.078650072221862
1990,Sweden,1.6237954102077197,1.4532364472795007,5.382680271736307,1.1073933549120183,2.7680252492105626
1990,Switzerland,1.685619036661906,1.4036116619157215,2.0814331277727383,3.9251426577421165,2.3277805564933693
1990,Poland,3.4278080940102136,3.871206332329925,6.867986314809105,2.8246105728914035,4.790261395094386
1990,Austria,4.039373879364767,4.558516530427404,5.248049430406935,3.0450921787596674,3.8757536713265663
1990,Belgium,5.4880096610706115,6.284919539170755,9.783633850711954,1.575410192707618,5.256040289540761
1990,Finland,8.455550656331452,8.295873985191486,2.7900505128682385,1.5422759022358643,3.848863579911289
1990,Denmark,8.87863281520099,8.77417900045644,8.011039979567263,1.4787370000517885,6.498030333788267
1990,Norway,4.234305483380732,3.9238367944931953,6.957542450388073,2.2968613148326105,4.5281343623022305
1990,Czech Republic,7.8581464544037525,7.680699281987348,8.488617290960676,1.699120397038781,5.598614441405793
1990,Hungary,4.066730841280441,3.699068808602171,8.216051375521179,1.1425598984411232,4.532642602280522
1990,Romania,1.3025226415751612,1.3952937640425864,8.964326267085633,1.7705360710403284,3.9876578289711064
1990,Indonesia,7.65295146773446,8.799222053896498,9.241154502014691,1.2085945608847943,5.528735270755194
1990,UAE,6.379513349055694,5.851129067835814,5.468464619772468,3.9285192675797678,5.517847862175546
1990,Saudi Arabia,7.1858570355036,6.564800335109172,2.6319672349868344,2.8150560523315145,4.459909091486137
1990,South Africa,9.379543145400119,9.074284237175522,7.279541918632164,3.07323361233867,6.01069492695988
1990,Argentina,6.400745252069549,6.751369154651758,9.051623819278026,1.0226208157350631,5.70531000312492
1990,Chile,7.5379971784686575,8.49106605024734,5.871062376654503,1.606873798522003,4.914193295648806
1991,USA,8.268274172474865,9.903293137024948,6.433208230087837,1.6233789966741137,5.1633481074355645
1991,Taiwan,2.7921281723965086,3.204539638380245,9.787530022652135,1.3993706324908002,4.523430981699746
1991,China,1.473374841551974,1.37388945563959,6.69310586814979,3.3180784028950923,3.845885759475076
1991,South Korea,8.159964165535747,9.000273656165888,4.6352584795765415,2.338396775013489,4.756518827195756
1991,Japan,5.015852226969318,4.9387673540527945,5.8424905973598555,1.8229728609352172,3.9608839923717354
1991,Netherlands,9.522569781106615,10.0,3.6773762599283186,2.0220831723585575,5.550604394364013
1991,Germany,9.894508896570457,10.0,8.425867120662453,2.6262019688779423,6.743347775469817
1991,Israel,2.0982570454267018,2.0692570407942066,1.7115502218047558,9.809098470993128,4.309818855111696
